Rok dodania,Ticker,Ticker (Google),Kod ISIN,Kraj lub region inwestycji,Temat inwestycji,Pełna nazwa,Zarządzany przez,Typ,Rok powstania,Rezydentura (domicile),Replikacja,mBank,XTB,DM BOŚ,Opłata roczna,"Aktywa
(mln EUR)",Liczba instrumentów,Waluta funduszu (dywidend),Zabezpieczenie walutowe,Częstotliwość dywidend,DY 2019,DY 2020,DY 2021,DY 2022,DY 2023,DY 2024,Kurs,Waluta,MIN 1R,MAX 1R,NOW/MAX,MIN/MAX
2025,IKSA,LON:IKSA,IE00BYYR0489,Arabia Saudyjska,Akcje,ISHARES MSCI SAUDI ARABIA CAPPED UCITS ,iShares,Accumulating,2019,Irlandia,Fizyczna,nie,tak,nie,"0,60%",314,42,USD,,,,,,,,,"5,96",USD,"5,75","6,75","88,3%","85,2%"
2020,IUSS,FRA:IUSS,IE00BYYR0489,Arabia Saudyjska,Akcje,ISHARES MSCI SAUDI ARABIA CAPPED UCITS ,iShares,Accumulating,2019,Irlandia,Fizyczna,tak,tak,tak,"0,60%",314,42,USD,,,,,,,,,,,,,,
2020,IAUS,LON:IAUS,IE00B5377D42,Australia,Akcje,ISHARES MSCI AUSTRLIA UCITS ,iShares,Accumulating,2010,Irlandia,Fizyczna,tak,nie,tak,"0,50%",371,48,USD,,,,,,,,,"56,76",USD,"42,82","58,04","97,8%","73,8%"
2020,IBC6,FRA:IBC6,IE00B5377D42,Australia,Akcje,ISHARES MSCI AUSTRLIA UCITS ,iShares,Accumulating,2010,Irlandia,Fizyczna,nie,tak,nie,"0,50%",371,48,USD,,,,,,,,,,,,,,
2025,AUAD,LON:AUAD,IE00BD4TY345,Australia,Akcje,UBS MSCI AUSTRALIA UCITS ETF AUD DIS,UBS,Distributing,2017,Irlandia,Fizyczna,nie,tak,nie,"0,40%",352,48,AUD,,Co 6M,,,"2,8%","4,0%","4,3%","3,6%","1 932,50",GBX,1546,2008,"96,2%","77,0%"
2025,AUGA,LON:AUGA,IE00BXDZNQ90,Australia,Akcje,UBS MSCI AUSTRALIA UCITS ETF HGBP ACC,UBS,Accumulating,2015,Irlandia,Fizyczna,nie,tak,nie,"0,43%",4,48,GBP,tak,,,,,,,,"2 654,32",GBX,"2229,19","2767,5","95,9%","80,5%"
2024,LYPU,FRA:LYPU,LU0496786905,Australia,Akcje,AMUNDI AUSTRALIA S&P/ASX 200 UCITS ETF DIST,Amundi,Distributing,2010,Luksemburg,Synt.,nie,nie,tak,"0,40%",107,,EUR,,Co 12M,"4,7%","2,4%","3,7%","4,5%","3,6%","4,2%",,,,,,
2020,EXXX,FRA:EXXX,DE000A0D8Q23,Austria,Akcje,ISHARES ATX UCITS ETF ,iShares,Distributing,2005,Niemcy,Fizyczna,tak,tak,nie,"0,32%",105,20,EUR,,Co 6M,"2,0%","1,0%","1,5%","2,9%","3,9%","4,5%",,,,,,
2020,XB4A,FRA:XB4A,LU0659579063,Austria,Akcje,XTRACKERS ATX UCITS ETF,Xtrackers,Accumulating,2011,Luksemburg,Fizyczna,nie,tak,tak,"0,25%",62,20,EUR,,,,,,,,,,,,,,
2020,IFFF,LON:IFFF,IE00B0M63730,Azja,Akcje,ISHARES MSCI AC FAR EAST EXJAPAN UCITS ,iShares,Distributing,2005,Irlandia,Fizyczna,tak,tak,nie,"0,74%",930,849,USD,,Co 3M,"2,0%","1,4%","1,4%","1,7%","1,8%","2,1%","5 641,04",GBX,"3358,1","5671,9","99,5%","59,2%"
2020,IQQF,FRA:IQQF,IE00B0M63730,Azja,Akcje,ISHARES MSCI AC FAR EAST EXJAPAN UCITS ,iShares,Distributing,2005,Irlandia,Fizyczna,nie,tak,tak,"0,74%",930,849,USD,,Co 3M,"2,0%","1,4%","1,4%","1,7%","1,8%","2,1%",,,,,,
2020,EMAD,LON:EMAD,IE00B466KX20,Azja,Akcje,SPDR MSCI EMERGING MARKETS ASIA UCITS ,SPDR,Accumulating,2011,Irlandia,Fizyczna,tak,nie,tak,"0,55%",1 014,833,USD,,,,,,,,,"106,04",USD,"68,32","106,04","100,0%","64,4%"
2024,SPYA,FRA:SPYA,IE00B466KX20,Azja,Akcje,SPDR MSCI EMERGING MARKETS ASIA UCITS ,SPDR,Accumulating,2011,Irlandia,Fizyczna,nie,tak,nie,"0,55%",1 014,833,USD,,,,,,,,,,,,,,
2020,CPXJ,LON:CPXJ,IE00B52MJY50,Azja,Akcje,ISHARES CORE MSCI PACIFIC EXJAPAN UCITS ETF,iShares,Accumulating,2010,Irlandia,Fizyczna,tak,nie,tak,"0,20%",2 935,98,USD,,,,,,,,,"222,31",USD,"160,93","228,2","97,4%","70,5%"
2020,SXR1,FRA:SXR1,IE00B52MJY50,Azja,Akcje,ISHARES CORE MSCI PACIFIC EXJAPAN UCITS ETF,iShares,Accumulating,2010,Irlandia,Fizyczna,nie,tak,nie,"0,20%",2 935,98,USD,,,,,,,,,,,,,,
2020,CEMA,LON:CEMA,IE00B5L8K969,Azja,Akcje,ISHARES MSCI EM ASIA UCITS,iShares,Accumulating,2010,Irlandia,Fizyczna,nie,nie,tak,"0,20%",3 734,968,USD,,,,,,,,,"247,85",USD,"158,91","253,6","97,7%","62,7%"
2020,CEA1,LON:CEA1,IE00B5L8K969,Azja,Akcje,ISHARES MSCI EM ASIA UCITS ,iShares,Accumulating,2010,Irlandia,Fizyczna,tak,nie,nie,"0,20%",3 734,968,USD,,,,,,,,,"18 343,90",GBX,"12161,56",18471,"99,3%","65,8%"
2023,CEBL,FRA:CEBL,IE00B5L8K969,Azja,Akcje,ISHARES MSCI EM ASIA UCITS,iShares,Accumulating,2010,Irlandia,Fizyczna,nie,tak,nie,"0,20%",3 734,968,USD,,,,,,,,,,,,,,
2025,HMXJ,LON:HMXJ,IE00B5SG8Z57,Azja,Akcje,HSBC MSCI PACIFIC EX JAPAN UCITS ETF,HSBC,Distributing,2010,Irlandia,Fizyczna,nie,tak,nie,"0,15%",656,97,USD,,Co 6M,"4,3%","2,9%","3,0%","3,6%","3,9%","4,0%","1 194,00",GBX,925,1219,"97,9%","75,9%"
2020,MXJ,EPA:MXJ,IE00B5SG8Z57,Azja,Akcje,HSBC MSCI PACIFIC EX JAPAN UCITS ETF,HSBC,Distributing,2010,Irlandia,Fizyczna,nie,nie,tak,"0,15%",656,97,USD,,Co 6M,"4,3%","2,9%","3,0%","3,6%","3,9%","4,0%",,,,,,
2025,UC48,LON:UC48,IE00B7WK2W23,Azja,Akcje,UBS MSCI AC ASIA EX JAPAN SF UCITS ETF USD ACC,UBS,Accumulating,2012,Irlandia,Synt.,nie,tak,nie,"0,23%",374,,USD,,,,,,,,,"17 484,00",GBX,"11807,27",17610,"99,3%","67,0%"
2022,VDPX,LON:VDPX,IE00B9F5YL18,Azja,Akcje,VANGUARD FTSE DEVELOPED ASPAC EX JAPAN USD ETF ,Vanguard,Distributing,2013,Irlandia,Fizyczna,tak,nie,nie,"0,15%",1 172,362,USD,,Co 3M,"3,8%","2,2%","3,8%","3,7%","3,5%","3,3%","33,84",USD,"21,32","33,8","100,1%","63,1%"
2025,VGEJ,FRA:VGEJ,IE00B9F5YL18,Azja,Akcje,VANGUARD FTSE DEVELOPED ASPAC EX JAPAN USD ETF ,Vanguard,Distributing,2013,Irlandia,Fizyczna,nie,tak,nie,"0,15%",1 172,362,USD,,Co 3M,"3,8%","2,2%","3,8%","3,7%","3,5%","3,3%",,,,,,
2020,VAPX,AMS:VAPX,IE00B9F5YL18,Azja,Akcje,VANGUARD FTSE DEVELOPED ASPAC EX JAPAN USD ETF ,Vanguard,Distributing,2013,Irlandia,Fizyczna,nie,nie,tak,"0,15%",1 172,362,USD,,Co 3M,"3,8%","2,2%","3,8%","3,7%","3,5%","3,3%","28,85",EUR,"19,31","28,87","99,9%","66,9%"
2020,HMAD,LON:HMAD,IE00BBQ2W338,Azja,Akcje,HSBC MSCI AC FAR EAST EX JAPAN UCITS ETF ,HSBC,Accumulating,2013,Irlandia,Fizyczna,nie,tak,nie,"0,45%",258,853,USD,,,,,,,,,"73,65",USD,"44,44","73,88","99,7%","60,2%"
2025,H411,FRA:H411,IE00BBQ2W338,Azja,Akcje,HSBC MSCI AC FAR EAST EX JAPAN UCITS ETF ,HSBC,Accumulating,2013,Irlandia,Fizyczna,nie,tak,nie,"0,45%",258,853,USD,,,,,,,,,,,,,,
2024,FVSJ,FRA:FVSJ,IE00BFWXDV39,Azja,Akcje,FRANKLIN AC ASIA EX JAPAN UCITS ,Franklin,Accumulating,2018,Irlandia,Fizyczna,nie,tak,tak,"0,14%",503,742,USD,,,,,,,,,,,,,,
2020,VAPU,LON:VAPU,IE00BK5BQZ41,Azja,Akcje,VANGUARD FTSE DEVELOPED ASIA PACIFIC EXJAPAN UCITS ETF,Vanguard,Accumulating,2019,Irlandia,Fizyczna,nie,nie,tak,"0,15%",417,362,USD,,,,,,,,,"42,65",USD,"26,23","42,7","99,9%","61,4%"
2025,VGEK,FRA:VGEK,IE00BK5BQZ41,Azja,Akcje,VANGUARD FTSE DEVELOPED ASIA PACIFIC EXJAPAN UCITS ETF,Vanguard,Accumulating,2019,Irlandia,Fizyczna,nie,tak,nie,"0,15%",417,362,USD,,,,,,,,,,,,,,
2025,UB20,LON:UB20,LU0446734526,Azja,Akcje,UBS MSCI PACIFIC EX JAPAN UCITS ETF USD DIS,UBS,Distributing,2009,Luksemburg,Fizyczna,nie,tak,nie,"0,14%",67,97,USD,,Co 6M,,,"2,8%","3,7%","3,9%","3,4%","3 780,46",GBX,2957,"3863,73","97,8%","76,5%"
2025,PAXG,LON:PAXG,LU1220245556,Azja,Akcje,AMUNDI MSCI PACIFIC EX JAPAN UCITS ETF DIST,Amundi,Distributing,2015,Luksemburg,Fizyczna,nie,tak,nie,"0,12%",207,97,USD,,Co 12M,,,"4,0%","4,4%","4,0%","6,0%","8 342,79",GBX,"6549,55","8809,81","94,7%","74,3%"
2025,AMEA,FRA:AMEA,LU1681044480,Azja,Akcje,AMUNDI MSCI EM ASIA UCITS ETF  EUR (C) ,Amundi,Accumulating,2011,Luksemburg,Synt.,nie,tak,nie,"0,20%",1 157,,EUR,,,,,,,,,,,,,,
2020,AASI,EPA:AASI,LU1681044480,Azja,Akcje,AMUNDI MSCI EM ASIA UCITS ETF  EUR (C) ,Amundi,Accumulating,2011,Luksemburg,Synt.,nie,tak,nie,"0,20%",1 157,,EUR,,,,,,,,,"47,19",EUR,"32,17","47,27","99,8%","68,1%"
2025,AASG,LON:AASG,LU1681044563,Azja,Akcje,AMUNDI MSCI EMERGING MARKETS ASIA UCITS ETF USD,Amundi,Accumulating,2011,Luksemburg,Synt.,nie,tak,nie,"0,20%",638,,USD,,,,,,,,,"4 092,50",GBX,"2755,5","4116,13","99,4%","66,9%"
2025,LASI,FRA:LASI,LU1900068161,Azja,Akcje,AMUNDI MSCI AC ASIA EX JAPAN UCITS ETF ACC,Amundi,Accumulating,2008,Luksemburg,Synt.,nie,tak,nie,"0,50%",295,,EUR,,,,,,,,,,,,,,
2025,AEJL,LON:AEJL,LU1900068328,Azja,Akcje,AMUNDI MSCI AC ASIA PACIFIC EX JAPAN UCITS ETF ACC,Amundi,Accumulating,2006,Luksemburg,Synt.,nie,tak,nie,"0,60%",520,,EUR,,,,,,,,,"7 172,00",GBX,"4982,95",7212,"99,4%","69,1%"
2020,APSDEX,FRA:EXXW,DE000A0H0744,Azja,Akcje - dywidendy,ISHARES DOW JONES ASIA PACIFIC SELECT DIVIDEND 30 UCITS ETF,iShares,Distributing,2006,Niemcy,Fizyczna,tak,tak,nie,"0,31%",307,50,EUR,,Co 3M,"6,3%","3,6%","5,9%","6,9%","6,2%","5,7%",,,,,,
2025,IQQX,FRA:IQQX,IE00B14X4T88,Azja,Akcje - dywidendy,ISHARES ASIA PACIFIC DIVIDEND UCITS ETF USD ,iShares,Distributing,2006,Irlandia,Fizyczna,nie,tak,nie,"0,59%",417,50,USD,,Co 3M,"6,0%","3,0%","5,9%","6,2%","5,9%","5,5%",,,,,,
2020,IAPD,AMS:IAPD,IE00B14X4T88,Azja,Akcje - dywidendy,ISHARES ASIA PACIFIC DIVIDEND UCITS ETF USD ,iShares,Distributing,2006,Irlandia,Fizyczna,nie,tak,tak,"0,59%",417,50,USD,,Co 3M,"6,0%","3,0%","5,9%","6,2%","5,9%","5,5%","23,49",EUR,"17,69","23,59","99,6%","75,0%"
2020,ASDV,LON:ASDV,IE00B9KNR336,Azja,Akcje - dywidendy,SPDR S&P PAN ASIA DIVIDEND ARISTOCRATS UCITS ,SPDR,Distributing,2013,Irlandia,Fizyczna,tak,nie,tak,"0,55%",176,96,USD,,Co 6M,"3,1%","2,7%","3,2%","3,1%","3,0%","3,2%","54,61",USD,"42,97","55,64","98,1%","77,2%"
2020,ZPRA,FRA:ZPRA,IE00B9KNR336,Azja,Akcje - dywidendy,SPDR S&P PAN ASIA DIVIDEND ARISTOCRATS UCITS ,SPDR,Distributing,2013,Irlandia,Fizyczna,nie,tak,nie,"0,55%",176,96,USD,,Co 6M,"3,1%","2,7%","3,2%","3,1%","3,0%","3,2%",,,,,,
2020,IASP,LON:IASP,IE00B1FZS244,Azja,Akcje - nieruchomości,ISHARES ASIA PROPERTY YIELD UCITS ,iShares,Distributing,2006,Irlandia,Fizyczna,nie,tak,nie,"0,59%",184,126,USD,,Co 3M,"3,4%","2,8%","3,3%","3,3%","3,4%","3,8%","1 727,50",GBX,1430,1805,"95,7%","79,2%"
2020,IQQ4,FRA:IQQ4,IE00B1FZS244,Azja,Akcje - nieruchomości,ISHARES ASIA PROPERTY YIELD UCITS ,iShares,Distributing,2006,Irlandia,Fizyczna,tak,nie,nie,"0,59%",184,126,USD,,Co 3M,"3,4%","2,8%","3,3%","3,3%","3,4%","3,8%",,,,,,
2020,IASP,AMS:IASP,IE00B1FZS244,Azja,Akcje - nieruchomości,ISHARES ASIA PROPERTY YIELD UCITS ,iShares,Distributing,2006,Irlandia,Fizyczna,nie,nie,tak,"0,59%",184,126,USD,,Co 3M,"3,4%","2,8%","3,3%","3,3%","3,4%","3,8%","19,89",EUR,"16,29","20,45","97,3%","79,7%"
2020,AYEP,FRA:AYEP,IE00BGDPWV87,Azja,Akcje - nieruchomości,ISHARES ASIA PROPERTY YIELD UCITS ,iShares,Accumulating,2018,Irlandia,Fizyczna,nie,tak,tak,"0,59%",91,126,USD,,,,,,,,,,,,,,
2024,V3PL,LON:V3PL,IE0008T6IUX0,Azja,Akcje - SRI,VANGUARD ESG DEVELOPED ASIA PACIFIC ALL CAP UCITS (USD) DIST.,Vanguard,Distributing,2022,Irlandia,Fizyczna,nie,nie,tak,"0,17%",22,2 002,USD,,Co 3M,,,,,"2,4%","2,0%","8,09",USD,"5,71","8,09","100,0%","70,6%"
2023,V3PA,FRA:V3PA,IE000GOJO2A3,Azja,Akcje - SRI,VANGUARD ESG DEVELOPED ASIA PACIFIC ALL CAP UCITS ETF,Vanguard,Accumulating,2022,Irlandia,Fizyczna,nie,tak,tak,"0,17%",82,2 002,USD,,,,,,,,,,,,,,
2025,ETLK,FRA:ETLK,IE00BFXR5W90,Azja,Akcje - SRI,L&G ASIA PACIFIC EX JAPAN EQUITY UCITS ETF,L&G,Accumulating,2018,Irlandia,Fizyczna,nie,tak,nie,"0,10%",690,140,USD,,,,,,,,,,,,,,
2025,SPYE,FRA:SPYE,IE00BKY58G26,Azja,Akcje - SRI,HSBC ASIA PACIFIC EX JAPAN SCREENED EQUITY UCITS ETF USD,HSBC,Accumulating,2020,Irlandia,Fizyczna,nie,tak,nie,"0,25%",322,357,USD,,,,,,,,,,,,,,
2025,SXRQ,FRA:SXRQ,IE00BMDBMK72,Azja,Akcje - SRI,ISHARES MSCI PACIFIC EX-JAPAN ESG ENHANCED CTB UCITS ETF USD (ACC),iShares,Accumulating,2021,Irlandia,Fizyczna,nie,tak,nie,"0,20%",87,90,USD,,,,,,,,,,,,,,
2025,FEPX,FRA:FEPX,IE00BNGFMY78,Azja,Akcje - SRI,FIDELITY PACIFIC EX-JAPAN EQUITY RESEARCH ENHANCED UCITS ETF ACC-USD,Fidelity,Accumulating,2020,Irlandia,Fizyczna,nie,tak,nie,"0,20%",408,110,USD,,,,,,,,,,,,,,
2025,ETSZ,FRA:ETSZ,IE00BNGFMY78,Azja,Akcje - SRI,FIDELITY PACIFIC EX-JAPAN EQUITY RESEARCH ENHANCED UCITS ETF ACC-USD,Fidelity,Accumulating,2020,Irlandia,Fizyczna,nie,tak,nie,"0,20%",408,110,USD,,,,,,,,,,,,,,
2020,XMAS,FRA:XMAS,LU0292107991,Azja,Akcje - SRI,XTRACKERS MSCI EM ASIA SCREENED SWAP UCITS ETF 1C,Xtrackers,Accumulating,2007,Luksemburg,Synt.,tak,tak,nie,"0,65%",281,,USD,,,,,,,,,,,,,,
2020,XAXJ,FRA:XAXJ,LU0322252171,Azja,Akcje - SRI,XTRACKERS MSCI AC ASIA EX JAPAN ESG SWAP UCITS ETF 1C,Xtrackers,Accumulating,2009,Luksemburg,Synt.,tak,tak,nie,"0,65%",394,,USD,,,,,,,,,,,,,,
2025,UB45,LON:UB45,LU0629460832,Azja,Akcje - SRI,UBS MSCI PACIFIC SOCIALLY RESPONSIBLE UCITS ETF USD DIS,UBS,Distributing,2011,Luksemburg,Fizyczna,nie,tak,nie,"0,28%",904,68,USD,,Co 6M,,,"1,5%","1,9%","2,0%","1,9%","6 600,60",GBX,5181,"6702,1","98,5%","77,3%"
2025,CP9G,LON:CP9G,LU1602145036,Azja,Akcje - SRI,AMUNDI MSCI PACIFIC EX JAPAN SRI CLIMATE PARIS ALIGNED UCITS ETF DR - USD (C),Amundi,Accumulating,2010,Luksemburg,Fizyczna,nie,tak,nie,"0,20%",24,33,USD,,,,,,,,,"54 250,00",GBX,46732,"56729,65","95,6%","82,4%"
2020,LCUA,FRA:LCUA,LU1781541849,Azja,Akcje - SRI,AMUNDI MSCI EM ASIA ESG BROAD TRANSITION UCITS ETF ACC,Amundi,Accumulating,2018,Luksemburg,Synt.,nie,tak,tak,"0,25%",263,676,USD,,,,,,,,,,,,,,
2025,MPXG,LON:MPXG,LU2469335298,Azja,Akcje - SRI,AMUNDI MSCI PACIFIC EX JAPAN SRI CLIMATE PARIS ALIGNED UCITS ETF DR - GBP (D),Amundi,Distributing,2022,Luksemburg,Fizyczna,nie,tak,nie,"0,15%",4,33,GBP,,Co 12M,,,,,"3,8%","3,5%","4 564,00",GBX,"4015,12",4926,"92,7%","81,5%"
2021,4BRZ,FRA:4BRZ,DE000A0Q4R85,Brazylia,Akcje,ISHARES MSCI BRAZIL UCITS ETF ,iShares,Accumulating,2018,Niemcy,Fizyczna,nie,tak,nie,"0,31%",2 506,44,USD,,,,,,,,,,,,,,
2025,IQQB,FRA:IQQB,IE00B0M63516,Brazylia,Akcje,ISHARES MSCI BRAZIL UCITS ETF,iShares,Distributing,2005,Irlandia,Fizyczna,nie,tak,nie,"0,74%",298,45,USD,,Co 3M,"3,0%","1,5%","5,1%","14,4%","6,4%","4,6%",,,,,,
2020,IBZL,AMS:IBZL,IE00B0M63516,Brazylia,Akcje,ISHARES MSCI BRAZIL UCITS ETF,iShares,Distributing,2005,Irlandia,Fizyczna,nie,tak,tak,"0,74%",298,45,USD,,Co 3M,"3,0%","1,5%","5,1%","14,4%","6,4%","4,6%","22,70",EUR,"16,62","23,78","95,5%","69,9%"
2023,FLXB,FRA:FLXB,IE00BHZRQY00,Brazylia,Akcje,FRANKLIN FTSE BRAZIL UCITS ETF,Franklin,Accumulating,2019,Irlandia,Fizyczna,nie,tak,tak,"0,19%",50,78,USD,,,,,,,,,,,,,,
2020,XMBR,FRA:XMBR,LU0292109344,Brazylia,Akcje,DB XTRACKERS MSCI BRAZIL UCITS ,Xtrackers,Accumulating,2007,Luksemburg,Fizyczna,tak,tak,nie,"0,25%",116,44,USD,,,,,,,,,,,,,,
2023,CNAA,LON:CNAA,FR0011720911,Chiny,Akcje,AMUNDI HWABAO WP MSCI CHINA A (DR) UCITS ETF (ACC),Amundi,Accumulating,2014,Francja,Fizyczna,nie,nie,tak,"0,35%",117,394,USD,,,,,,,,,"194,08",USD,"133,44","194,08","100,0%","68,8%"
2025,CNAA,EPA:CNAA,FR0011720911,Chiny,Akcje,AMUNDI HWABAO WP MSCI CHINA A (DR) UCITS ETF (ACC),Amundi,Accumulating,2014,Francja,Fizyczna,nie,tak,nie,"0,35%",117,394,USD,,,,,,,,,"163,99",EUR,"118,87","164,33","99,8%","72,3%"
2025,HCHS,LON:HCHS,IE0007P4PBU1,Chiny,Akcje,HSBC MSCI CHINA UCITS ETF USD (ACC),HSBC,Accumulating,2022,Irlandia,Fizyczna,nie,tak,nie,"0,28%",134,558,USD,,,,,,,,,"7,05",GBP,"5,29","7,58","93,0%","69,8%"
2025,VDIV,FRA:VDIV,IE00B44T3H88,Chiny,Akcje,HSBC MSCI CHINA UCITS ETF USD,HSBC,Distributing,2011,Irlandia,Fizyczna,nie,tak,nie,"0,28%",989,558,USD,,Co 6M,,,"1,1%","1,6%","1,8%","2,6%",,,,,,
2025,FLXC,FRA:FLXC,IE00BHZRR147,Chiny,Akcje,FRANKLIN FTSE CHINA UCITS ETF,Franklin,Accumulating,2019,Irlandia,Fizyczna,nie,nie,tak,"0,19%",1 780,991,USD,,,,,,,,,,,,,,
2020,ICGA,FRA:ICGA,IE00BJ5JPG56,Chiny,Akcje,ISHARES MSCI CHINA UCITS ETF,iShares,Accumulating,2019,Irlandia,Fizyczna,nie,tak,tak,"0,28%",3 476,559,USD,,,,,,,,,,,,,,
2020,ICHN,AMS:ICHN,IE00BJ5JPG56,Chiny,Akcje,ISHARES MSCI CHINA UCITS ETF,iShares,Accumulating,2019,Irlandia,Fizyczna,nie,tak,nie,"0,28%",3 476,559,USD,,,,,,,,,,,,,,
2025,MCHIN,LON:MCHIN,IE00BK80XL30,Chiny,Akcje,INVESCO MSCI CHINA ALL SHARES STOCK CONNECT UCITS ETF ACC,Invesco,Accumulating,2021,Irlandia,Fizyczna,tak,nie,nie,"0,35%",100,558,USD,,,,,,,,,,,,,,
2020,CNYA,LON:CNYA,IE00BQT3WG13,Chiny,Akcje,ISHARES MSCI CHINA A UCITS ,iShares,Accumulating,2015,Irlandia,Fizyczna,tak,tak,nie,"0,40%",1 846,394,USD,,,,,,,,,"5,87",USD,4,"5,87","100,0%","68,1%"
2020,CNYA,FRA:CNYA,IE00BQT3WG13,Chiny,Akcje,ISHARES MSCI CHINA A UCITS ,iShares,Accumulating,2015,Irlandia,Fizyczna,nie,tak,nie,"0,40%",1 846,394,USD,,,,,,,,,,,,,,
